"","TX202145335","TX240130218","TX240130255","TX252145317","TX263105336","TX263105978","TX272136690","TX272136698","TX272136699","TX279103530","TX279103554","TX279103561","TX279103567","TX279103583","TX279103586","TX281118809","TX281118812","TX281118835"
"ASV143",0,0,0,0,0,0,0,0,93,43,46,0,27,49,24,20,0,0
"ASV151",11,10,18,0,0,14,0,63,106,0,0,0,0,0,12,0,0,46
"ASV152",0,0,16,0,0,0,0,0,0,0,0,0,0,174,25,0,0,65
"ASV154",0,0,0,0,0,0,0,46,0,0,0,0,0,37,32,0,0,165
"ASV155",0,0,0,0,0,0,16,21,0,0,19,0,0,51,30,0,104,0
"ASV158",0,9,0,0,0,30,46,18,0,0,0,0,0,0,0,0,0,171
"ASV159",35,40,40,0,0,24,0,0,45,0,0,0,0,0,12,1,0,76
"ASV163",0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,126
"ASV167",16,19,0,0,0,13,139,0,0,0,0,0,0,0,0,21,0,0
"ASV168",0,0,0,14,0,0,0,0,0,0,0,0,0,0,168,0,0,0
"ASV170",25,17,34,0,0,0,52,44,0,0,64,0,0,0,0,0,0,28
"ASV171",0,0,0,0,0,0,0,0,0,0,113,0,0,67,0,0,0,0
"ASV173",0,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0
"ASV174",23,0,0,0,0,0,37,0,23,0,39,0,0,0,56,31,22,28
"ASV175",0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"ASV176",0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,77,56,0
"ASV177",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0
"ASV178",7,0,0,0,53,56,0,0,0,0,0,0,0,0,0,0,0,138
"ASV183",12,7,0,0,12,0,0,21,0,0,0,0,0,0,0,0,0,200
"ASV185",0,0,0,0,0,0,0,0,79,0,0,103,0,0,0,0,0,0
"ASV190",0,0,0,0,0,0,39,0,68,0,0,0,0,47,20,0,0,45
"ASV192",26,42,34,27,0,58,0,0,37,0,0,0,0,11,0,0,0,0
"ASV193",37,48,24,26,48,51,0,0,0,0,0,0,0,0,0,0,0,0
